#ID	Nom	Frequence	Moyen	Utilisation
TSU	TOUSSUS LE NOBLE	108.25 Mhz	VOR	E
TUR	TOURS VAL DE LOIRE	331 Khz	NDB	A
TUR	TOURS VAL DE LOIRE	113.8 Mhz CH85X	TACAN	E
TW	TOULOUSE BLAGNAC	406 Khz	NDB	A
TY	TROYES BARBEREY	320 Khz	L	A
TY	TROYES BARBEREY	111.15 Mhz CH48Y	ILS--DME	A
ULT	USSEL THALAMY	416 Khz	L	A
VA	VANNES MEUCON	342 Khz	L	A
VAT	CHALONS VATRY	367 Khz	L	A
VE	VALENCE CHABEUIL	320 Khz	L	A
VE	VALENCE CHABEUIL	110.15 Mhz CH38Y	ILS--DME	A
VNE	VIENNE REVENTIN	108.2 Mhz	VOR	A
VNS	VANNES MEUCON	110.7 Mhz	ILS	A
VS	VALENCIENNES DENAIN	317 Khz	L	A
VS	VALENCIENNES DENAIN	108.5 Mhz CH22X	ILS--DME	A
VVE	VILLACOUBLAY VELIZY	111.35 Mhz CH50Y	ILS--DME	A
VVO	VILLACOUBLAY VELIZY	110.75 Mhz CH44Y	ILS--DME	A
VZ	VICHY CHARMEIL	403 Khz	L	A
VZ	VICHY CHARMEIL	109.9 Mhz	ILS	A
WS	GRENOBLE SAINT GEOIRS	291 Khz	L	A
YN	LA ROCHE SUR YON LES AJONCS	334 Khz	L	AE
ZR	BEZIERS VIAS	397 Khz	L	A
ZR	BEZIERS VIAS	109.35 Mhz CH30Y	ILS--DME	A
