#ID	Nom	Frequence	Moyen	Utilisation
CGS	NICE COTE D'AZUR	109.2 Mhz CH29X	VOR--DME	A
CGW	PARIS CHARLES DE GAULLE	110.7 Mhz CH44X	ILS--DME	A
CGZ	PARIS CHARLES DE GAULLE	370 Khz	L	A
CH	CHAMBERY AIX LES BAINS	346 Khz	L	A
CHW	CHARTRES La Loupe	115.2 Mhz CH99X	VOR--DME	E
CHY	CHAILLEY	353 Khz	L	A
CL	CAHORS LALBENQUE	348 Khz	L	A
CLI	CALVI SAINTE CATHERINE	109.5 Mhz CH32X	ILS--DME	A
CLM	COULOMMIERS Voisins	112.9 Mhz CH76X	VOR--DME	E
CLR	COLMAR--MEYENHEIM	110 Mhz CH37X	TACAN	AE
CLR	COLMAR--MEYENHEIM	111.1 Mhz	ILS	A
CM	AVIGNON CAUMONT	369 Khz	L	AE
CMB	CAMBRAI EPINOY	112.6 Mhz CH73X	VORTAC	AE
CMB	CAMBRAI EPINOY	109.3 Mhz	ILS	A
CMD	CANNES MANDELIEU	110.35 Mhz CH40Y	ILS--DME	A
CN	CAEN CARPIQUET	110.95 Mhz CH46Y	ILS--DME	A
CNA	COGNAC CHATEAUBERNARD	114.65 Mhz CH93Y	VOR--DME	AE
CNE	CAEN CARPIQUET	404 Khz	L	A
CNM	CANNES--Tanneron	111.4 Mhz	VOR	E
CRL	CREIL	109.2 Mhz CH29X	VORTAC	A
CRL	CREIL	111.5 Mhz	ILS	A
CS	CARCASSONNE SALVAZA	345 Khz	L	A
CS	CARCASSONNE SALVAZA	111.1 Mhz CH48X	ILS--DME	A
CSC	CANNES MANDELIEU	385 Khz	L	A
CSM	CASTELSARRASIN MOISSAC	372 Khz	NDB	A
CT	AJACCIO NAPOLEON BONAPARTE	387 Khz	L	A
CTL	CHATILLON SUR MARNE	117.6 Mhz CH123X	VOR--DME	E
CTX	CHATEAUROUX DEOLS	428 Khz	NDB	AE
CUX	MONT DE MARSAN	109 Mhz CH27X	TACAN	E
CV	CALVI SAINTE CATHERINE	375 Khz	L	AE
CVD	CHALONS VATRY	111.3 Mhz CH50X	ILS--DME	A
CVL	CHALONS VATRY	109.55 Mhz CH32Y	ILS--DME	A
CVN	PONTOISE CORMEILLES EN VEXIN	110.95 Mhz CH46Y	ILS--DME	A
CVT	CHALONS VATRY	347 Khz	L	A
CVU	CASTRES MAZAMET	356 Khz	L	A
CX	CHATEAUROUX DEOLS	110.3 Mhz CH40X	ILS--DME	A
CY	CHAMBERY AIX LES BAINS	109.5 Mhz CH32X	ILS--DME	A
CZ	CHARLEVILLE MEZIERES	379 Khz	L	A
CZ	CHARLEVILLE MEZIERES	109.5 Mhz	ILS	A
DA	ALES CEVENNES	402 Khz	L	A
DGN	DIGNE	113.85 Mhz	VOR	E
DIJ	DIJON--LONGVIC	113.5 Mhz CH82X	TACAN	E
DIN	DINARD PLEURTUIT SAINT MALO	114.3 Mhz CH90X	VOR--DME	AE
DJ	DIJON--LONGVIC	109.5 Mhz	ILS	A
DJL	DIJON--LONGVIC	111.45 Mhz CH51Y	VOR--DME	AE
DO	DOLE TAVAUX	309 Khz	L	A
DO	DOLE TAVAUX	109.35 Mhz CH30Y	ILS--DME	A
DPE	DIEPPE	115.8 Mhz	VOR	E
DR	DINARD PLEURTUIT SAINT MALO	390 Khz	L	A
DR	DINARD PLEURTUIT SAINT MALO	110.75 Mhz CH44Y	ILS--DME	A
DSA	DIEPPE SAINT AUBIN	351 Khz	L	A
DSE	PARIS CHARLES DE GAULLE	108.55 Mhz CH22Y	ILS--DME	A
DSU	PARIS CHARLES DE GAULLE	108.35 Mhz CH20Y	ILS--DME	A
DV	DEAUVILLE SAINT GATIEN	111.55 Mhz CH52Y	ILS--DME	A
DVL	DEAUVILLE SAINT GATIEN	110.2 Mhz	VOR	AE
DX	DAX SEYRESSE	334 Khz	L	A
EB	SAINT ETIENNE BOUTHEON	379 Khz	L	A
EB	SAINT ETIENNE BOUTHEON	110.35 Mhz CH40Y	ILS--DME	A
EG	GRENOBLE SAINT GEOIRS	397 Khz	L	A
EMT	EPINAL MIRECOURT	419 Khz	L	A
EN	CASTRES MAZAMET	111.35 Mhz CH50Y	ILS--DME	A
ENT	STRASBOURG ENTZHEIM	108.55 Mhz CH22Y	ILS--DME	A
EPL	EPINAL MIRECOURT	113 Mhz	VOR	E
EPR	EPERNON	115.65 Mhz CH103Y	VOR--DME	AE
